資料年月,縣市,車種類別,數量
200907,臺北市,普通重型機車,998051
200907,臺北市,普通輕型機車,139461
200907,臺北市,普通駕照,1350470
200907,臺北市,機車,1152291
200907,臺北市,職業駕照,52113
200908,臺北市,大型重型機車,14883
200908,臺北市,小型輕型機車,1
200908,臺北市,汽車,1405685
200908,臺北市,普通重型機車,1000818
200908,臺北市,普通輕型機車,139424
200908,臺北市,普通駕照,1353632
200908,臺北市,機車,1155126
200908,臺北市,職業駕照,52053
200909,臺北市,大型重型機車,15025
200909,臺北市,小型輕型機車,1
200909,臺北市,汽車,1408914
200909,臺北市,普通重型機車,1003248
200909,臺北市,普通輕型機車,139216
200909,臺北市,普通駕照,1356895
200909,臺北市,機車,1157490
200909,臺北市,職業駕照,52019
200910,臺北市,大型重型機車,15142
200910,臺北市,小型輕型機車,1
200910,臺北市,汽車,1410047
200910,臺北市,普通重型機車,1004061
200910,臺北市,普通輕型機車,138966
200910,臺北市,普通駕照,1358101
200910,臺北市,機車,1158170
200910,臺北市,職業駕照,51946
200911,臺北市,大型重型機車,15294
200911,臺北市,小型輕型機車,1
200911,臺北市,汽車,1411153
200911,臺北市,普通重型機車,1005241
200911,臺北市,普通輕型機車,138693
200911,臺北市,普通駕照,1359455
200911,臺北市,機車,1159229
200911,臺北市,職業駕照,51698
200912,臺北市,大型重型機車,15430
200912,臺北市,小型輕型機車,1
200912,臺北市,汽車,1412301
200912,臺北市,普通重型機車,1006053
200912,臺北市,普通輕型機車,138444
200912,臺北市,普通駕照,1360745
200912,臺北市,機車,1159928
200912,臺北市,職業駕照,51556
201001,臺北市,大型重型機車,15523
201001,臺北市,小型輕型機車,1
201001,臺北市,汽車,1413292
201001,臺北市,普通重型機車,1007534
201001,臺北市,普通輕型機車,138268
201001,臺北市,普通駕照,1361842
201001,臺北市,機車,1161326
201001,臺北市,職業駕照,51450
201002,臺北市,大型重型機車,15585
201002,臺北市,小型輕型機車,1
201002,臺北市,汽車,1414194
201002,臺北市,普通重型機車,1008408
201002,臺北市,普通輕型機車,138171
201002,臺北市,普通駕照,1362905
201002,臺北市,機車,1162165
201002,臺北市,職業駕照,51289
201003,臺北市,大型重型機車,15865
201003,臺北市,小型輕型機車,1
201003,臺北市,汽車,1416916
201003,臺北市,普通重型機車,1009885
201003,臺北市,普通輕型機車,137909
201003,臺北市,普通駕照,1365703
201003,臺北市,機車,1163660
201003,臺北市,職業駕照,51213
201004,臺北市,大型重型機車,16006
201004,臺北市,小型輕型機車,1
201004,臺北市,汽車,1418504
201004,臺北市,普通重型機車,1010451
201004,臺北市,普通輕型機車,137702
201004,臺北市,普通駕照,1367375
201004,臺北市,機車,1164160
201004,臺北市,職業駕照,51129
201005,臺北市,大型重型機車,16158
201005,臺北市,小型輕型機車,1
201005,臺北市,汽車,1419768
201005,臺北市,普通重型機車,1011469
201005,臺北市,普通輕型機車,137491
201005,臺北市,普通駕照,1368712
201005,臺北市,機車,1165119
201005,臺北市,職業駕照,51056
201006,臺北市,大型重型機車,16254
201006,臺北市,小型輕型機車,1
201006,臺北市,汽車,1422160
201006,臺北市,普通重型機車,1013174
201006,臺北市,普通輕型機車,137321
201006,臺北市,普通駕照,1371180
201006,臺北市,機車,1166750
201006,臺北市,職業駕照,50980
201007,臺北市,大型重型機車,16409
201007,臺北市,小型輕型機車,1
201007,臺北市,汽車,1424425
201007,臺北市,普通重型機車,1016165
201007,臺北市,普通輕型機車,137151
201007,臺北市,普通駕照,1373544
201007,臺北市,機車,1169726
201007,臺北市,職業駕照,50881
201008,臺北市,大型重型機車,16574
201008,臺北市,小型輕型機車,1
201008,臺北市,汽車,1427755
201008,臺北市,普通重型機車,1018952
201008,臺北市,普通輕型機車,137007
201008,臺北市,普通駕照,1377005
201008,臺北市,機車,1172534
201008,臺北市,職業駕照,50750
201009,臺北市,大型重型機車,16749
201009,臺北市,小型輕型機車,1
201009,臺北市,汽車,1431022
201009,臺北市,普通重型機車,1021387
201009,臺北市,普通輕型機車,136810
201009,臺北市,普通駕照,1380381
201009,臺北市,機車,1174947
201009,臺北市,職業駕照,50641
201010,臺北市,大型重型機車,16883
201010,臺北市,小型輕型機車,1
201010,臺北市,汽車,1432355
201010,臺北市,普通重型機車,1022188
201010,臺北市,普通輕型機車,136642
201010,臺北市,普通駕照,1381773
201010,臺北市,機車,1175714
201010,臺北市,職業駕照,50582
201011,臺北市,大型重型機車,17035
201011,臺北市,小型輕型機車,1
201011,臺北市,汽車,1434786
201011,臺北市,普通重型機車,1024227
201011,臺北市,普通輕型機車,136533
201011,臺北市,普通駕照,1384303
201011,臺北市,機車,1177796
201011,臺北市,職業駕照,50483
201012,臺北市,大型重型機車,17185
201012,臺北市,小型輕型機車,1
201012,臺北市,汽車,1436576
201012,臺北市,普通重型機車,1025388
201012,臺北市,普通輕型機車,136217
201012,臺北市,普通駕照,1386184
201012,臺北市,機車,1178791
201012,臺北市,職業駕照,50392
201101,臺北市,大型重型機車,17287
201101,臺北市,小型輕型機車,1
201101,臺北市,汽車,1437725
201101,臺北市,普通重型機車,1026509
201101,臺北市,普通輕型機車,136102
201101,臺北市,普通駕照,1387544
201101,臺北市,機車,1179899
201101,臺北市,職業駕照,50181
201102,臺北市,大型重型機車,17373
201102,臺北市,小型輕型機車,1
201102,臺北市,汽車,1439212
201102,臺北市,普通重型機車,1027668
201102,臺北市,普通輕型機車,136011
201102,臺北市,普通駕照,1389125
201102,臺北市,機車,1181053
201102,臺北市,職業駕照,50087
201103,臺北市,大型重型機車,17536
201103,臺北市,小型輕型機車,1
201103,臺北市,汽車,1440800
201103,臺北市,普通重型機車,1028701
201103,臺北市,普通輕型機車,135805
201103,臺北市,普通駕照,1390814
201103,臺北市,機車,1182043
201103,臺北市,職業駕照,49986
201104,臺北市,大型重型機車,17747
201104,臺北市,小型輕型機車,1
201104,臺北市,汽車,1442581
201104,臺北市,普通重型機車,1029459
201104,臺北市,普通輕型機車,135528
201104,臺北市,普通駕照,1392764
201104,臺北市,機車,1182735
201104,臺北市,職業駕照,49817
201105,臺北市,大型重型機車,17941
201105,臺北市,小型輕型機車,1
201105,臺北市,汽車,1444390
201105,臺北市,普通重型機車,1030700
201105,臺北市,普通輕型機車,135370
201105,臺北市,普通駕照,1394690
201105,臺北市,機車,1184012
201105,臺北市,職業駕照,49700
201106,臺北市,大型重型機車,18126
201106,臺北市,小型輕型機車,1
201106,臺北市,汽車,1447307
201106,臺北市,普通重型機車,1032920
201106,臺北市,普通輕型機車,135221
201106,臺北市,普通駕照,1397607
201106,臺北市,機車,1186268
201106,臺北市,職業駕照,49700
201107,臺北市,大型重型機車,18382
201107,臺北市,小型輕型機車,1
201107,臺北市,汽車,1450800
201107,臺北市,普通重型機車,1036155
201107,臺北市,普通輕型機車,134997
201107,臺北市,普通駕照,1401138
201107,臺北市,機車,1189535
201107,臺北市,職業駕照,49662
201108,臺北市,大型重型機車,18602
201108,臺北市,小型輕型機車,1
201108,臺北市,汽車,1455649
201108,臺北市,普通重型機車,1039897
201108,臺北市,普通輕型機車,134879
201108,臺北市,普通駕照,1406037
201108,臺北市,機車,1193379
201108,臺北市,職業駕照,49612
201109,臺北市,大型重型機車,18726
201109,臺北市,小型輕型機車,1
201109,臺北市,汽車,1458027
201109,臺北市,普通重型機車,1041088
201109,臺北市,普通輕型機車,134708
201109,臺北市,普通駕照,1408445
201109,臺北市,機車,1194523
201109,臺北市,職業駕照,49582
201110,臺北市,大型重型機車,18936
201110,臺北市,小型輕型機車,1
201110,臺北市,汽車,1459875
201110,臺北市,普通重型機車,1041985
201110,臺北市,普通輕型機車,134446
201110,臺北市,普通駕照,1410326
201110,臺北市,機車,1195368
201110,臺北市,職業駕照,49549
201111,臺北市,大型重型機車,19231
201111,臺北市,小型輕型機車,1
201111,臺北市,汽車,1461732
201111,臺北市,普通重型機車,1042950
201111,臺北市,普通輕型機車,134190
201111,臺北市,普通駕照,1412208
201111,臺北市,機車,1196372
201111,臺北市,職業駕照,49524
201112,臺北市,大型重型機車,19400
201112,臺北市,小型輕型機車,1
201112,臺北市,汽車,1462742
201112,臺北市,普通重型機車,1043410
201112,臺北市,普通輕型機車,134064
201112,臺北市,普通駕照,1413284
201112,臺北市,機車,1196875
201112,臺北市,職業駕照,49458
201201,臺北市,大型重型機車,19483
201201,臺北市,小型輕型機車,1
201201,臺北市,汽車,1463648
201201,臺北市,普通重型機車,1044606
201201,臺北市,普通輕型機車,133913
201201,臺北市,普通駕照,1414280
201201,臺北市,機車,1198003
201201,臺北市,職業駕照,49368
201202,臺北市,大型重型機車,19722
201202,臺北市,小型輕型機車,1
201202,臺北市,汽車,1465027
201202,臺北市,普通重型機車,1046214
201202,臺北市,普通輕型機車,133702
201202,臺北市,普通駕照,1415703
201202,臺北市,機車,1199639
201202,臺北市,職業駕照,49324
201203,臺北市,大型重型機車,19943
201203,臺北市,小型輕型機車,1
201203,臺北市,汽車,1466525
201203,臺北市,普通重型機車,1047160
